,rating,total_rating,price,next_month_bought,offer,brand,model_name,screen_size_inches,colour,hard_disk_size_GB,cpu_model,ram_GB,os,special_features,graphics_card
166,4.1,233,59990.0,0,20,ASUS,ASUS Vivobook,16,Silver,512.0,Core i5-12500H,16,Windows 11 Home,"Backlit Keyboard, Fingerprint Reader, Lightweight",Integrated
167,4.6,3,57990.0,0,28,MSI,Thin 15,40,Cosmos Gray,1000.0,Core i5,16,Windows 11 Home,Unknown,Dedicated
168,4.0,23,249990.0,0,8,ASUS,ROG Strix,16,Eclipse Gray,1000.0,Ryzen 9,16,Windows 11 Home,"1080P FHD camera, Anti-glare display, ROG intelligent cooling",Dedicated
169,4.1,9,484990.0,0,12,ASUS,ROG Strix,18,Off Black,2000.0,Intel Core Ultra 9,64,Windows 11 Home,"1080P FHD IR Camera for Windows Hello, Anti-glare display, ROG Nebula HDR Display, ROG intelligent coolingSee more",Dedicated
170,3.7,7,139990.0,0,21,ASUS,ASUS Zenbook,16,Scandinavian White,1000.0,AMD Ryzen 7,24,Windows 11 Home,"500nits HDR peak brightness, Backlit Keyboard, Lightweight, Precision touchpad, Touch screen Display",Integrated
171,4.7,966,119490.0,100,5,Apple,13-inch MacBook,13,Silver,256.0,Apple M4,16,Mac OS,"Backlit Keyboard, Fingerprint Reader",Integrated
172,2.0,2,49010.0,0,43,HP,HP 14,14,Silver,512.0,Core i5,8,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight",Integrated
173,4.4,17,163490.0,0,11,HP,HP Laptop,40,Black,1000.0,Intel Core Ultra 9,32,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Dedicated
178,5.0,1,33999.0,0,51,Dell,Inspiron 14,14,Ice Blue,512.0,Core i3,16,Windows 11 Pro,"Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot",Integrated
179,3.6,17,39850.0,50,29,HP,HP 15,15,Ash Grey,512.0,Core i3,16,Windows 11 Pro,"Anti Glare Coating, Fingerprint Reader, HD Audio, Lightweight, Numeric Keypad",Integrated
180,5.0,2,97990.0,0,0,Microsoft,Laptop 4,15,Platinum,256.0,Ryzen 7,8,Windows 11 Home,"1.542 Kilogram, AMD Ryzen™ Microsoft Surface® Edition processor.2, Open effortlessly with one finger and enjoy uninterrupted productivity on the PixelSense™ touchscreen thanks to whisper-quiet cooling., Stream programmes and films with immersive cinema-like sound with Dolby Atmos®7, Ultra-thin and light, invisible hinge you can open with one finger.See more",Integrated
181,2.6,3,181423.0,0,0,MSI,Prestige 16,41,Stellar Gray,1000.0,Core i9,32,Windows 11 Home,Thin,Dedicated
182,3.8,80,31940.0,0,0,HP,HP 14,14,Ash Grey,512.0,Ryzen 5,8,Windows 11,"Anti Glare Coating, HD Audio, Lightweight",Integrated
183,0.0,0,32995.0,0,59,Generic,Dell_Laptop 5420-16-512,14,Silver,512.0,Core i5,16,Windows 10,Anti Glare Coating,Integrated
184,4.1,167,63990.0,0,17,HP,HP Laptop,39,"Silver, i5",512.0,Core i5,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Micro-edge",Integrated
185,0.0,0,62999.0,0,27,Lenovo,Lenovo V15,15,Luna Grey,,Intel Core i7,16,DOS,Unknown,Integrated
186,4.0,59,35990.0,500,49,Lenovo,Lenovo V15,15,Iron Grey,512.0,Core i3,16,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight, Spill Resistant",Integrated
188,3.9,547,60990.0,0,20,HP,HP Laptop,39,Mica Silver,512.0,Others,16,Windows 11 Home,"Anti Glare Coating, Micro Edge Display",Dedicated
189,4.2,118,42990.0,0,17,HP,HP Pavilion,15,Silver,1000.0,Ryzen 5,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio, Lightweight, Micro-Edge Display",Integrated
190,5.0,1,94990.0,0,37,MSI,Katana 15,40,Black,,Intel Core i7,16,Windows 11 Home,RGB backlit,Dedicated
191,5.0,1,29999.0,0,57,acer,Aspire Lite,15,Steel Grey,512.0,Ryzen 3 5300U,16,Windows 11 Home,"HD Audio, Lightweight, Memory Card Slot, Numeric Keypad, Thin",Integrated
