,rank-title,rank-sub,Price(₹),color-count,selling_proposition,discount,Product_Title
53,#6 Best Sellers,in Outdoor Sofas Covers,494.0,8.0,0,0.0,"1pc Printed Stretchy Sofa Cushion Cover For Outdoor Furniture, Sofa Seat Replacement Cover, Flexible Chair Cushion Cover For Porch Garden Furniture Protection"
54,Unranked(New),General-Home-Textile,100.7,4.0,500,38.0,"1pc Triangle Floor Drain, Home Sink Deodorization Blockage-Proof Filter, Bathtub Sewer Drain, Bathroom Product, Bathroom Accessories, Kitchen Sink Anti-Blocking And Deodorization Mesh, Bathtub Drain, Bathroom Drainage Filter And Drain Cover"
55,Unranked(New),General-Home-Textile,237.5,4.0,300,0.0,"1pc White Food Cover For Dining Table, Foldable Anti-Fly Meal Covers Kitchen Outdoor Umbrella-Shaped Dustproof Mesh Net,17""X17"" Food Tents Food Covers For Outdoors,Pop-Up Mesh Food Covers Nets For Outside,Screen Tents,Parties Picnics, BBQ,Reusable And Collapsible"
56,#1 Best Sellers,in Blackout Curtains & Shades,608.0,4.0,0,0.0,"1PC Full Blackout Curtain Paste Style Portable Cordless Roller Blind, Blackout Roller Blind, Non Perforated, Cordless, Home And Kitchen Supplies, Home Decoration, Window Products, Blackout Curtains And Sunshade Curtains"
57,#4 Best Sellers,in Kitchen & Table Linens,228.0,4.0,0,0.0,12/24pcs Kitchen Cleaning Sponge Double Side Dishwashing Sponge Dish Washing Brush Pan Pot Dish Wash Sponges Household Cleaning Reusable Kitchen Tools
58,Unranked(New),General-Home-Textile,844.5500000000001,6.0,300,12.0,"4pcs Geometric Wavy Stripe Pattern Decorative Pillow Covers, Four Seasons Universal Gift Cushion Cases Suitable For Bed, Living Room, Sofa, Outdoor Etc. (Inner Core Not Included)"
59,Unranked(New),General-Home-Textile,684.0,4.0,80,0.0,"1 Set Simple Non-Drilling Extendable Curtain Rod, Simple Metal Black / White Baking Paint Non-Drilling Rod For Curtains Or Clothes, Suitable For Door Frames, Windows, Wardrobes, Kitchen"
60,#1 Best Sellers,in Trending Rugs & Mats for Spring or Summer,377.15000000000003,6.0,0,37.0,"1pc Black Alphabet Slogan Creative Welcome Doormat, Modern Personalized Water-Absorbing, Quick-Drying Entrance Carpet, Mud Wiping, Anti-Slip Indoor Entrance Mat, Machine Washable, Dirt-Resistant, Easy To Clean, For Entrance Decoration, Parties, Home Decor, Bathroom Mat, Kitchen Mat, Small Area Rug, Decorative Rug, Suitable For Front Door, Living Room, Bedroom, Terrace Decoration, Parties, Festivals, Gift, Banquet, Etc."
61,Unranked(New),General-Home-Textile,513.0,4.0,200,0.0,"1pc Stripe Pattern Rug, Modernist Polyester Non-slip Bedroom Rug For Home"
62,#3 Best Sellers,in Disposable Towels & Bath Towels,256.5,4.0,0,0.0,"150pcs Disposable Washcloth, Hanging, Increase Thickening And Water Absorption, Cleaning Rag, Portable, Household, Bathroom, Kitchen, Outdoor, Picnic, Travel, Hotel."
63,#3 Best Sellers,in Carpet Padding & Grippers,171.0,4.0,0,0.0,"24 Pcs Rug Grippers, Non Slip Rug Pads For Hardwood Floors Tiles Marble Floors, Double Sided Adhesive Carpet Grippers Keep Corners Flat, Removable Rug Tapes For Area Rugs"
64,#3 Best Sellers,in Kitchen Floor Mats & Kitchen Carpets,418.00000000000006,4.0,0,0.0,"1pc Creative Soft Memory Foam Anti-Slip Kitchen Floor Mat, Easy To Clean"
65,Unranked(New),General-Home-Textile,275.5,4.0,30,12.0,"1pc Microfiber Cooling Towels For Sport & Sun Protection, Quick Drying, Absorbent Wrap For Neck & Face"
66,Unranked(New),General-Home-Textile,294.5,8.0,100,0.0,"1pc Premium Silky Satin Envelope Pillowcase Pillow Covers Without Filling,Soft Breatheable Wrink-Free Better For Hair Skin Sleep"
67,Unranked(New),General-Home-Textile,570.0,4.0,100,0.0,"1pc Modern Abstract Geometric Pattern Faux Cashmere Carpet, Soft Non-Slip Washable Short Plush Area Rug For Indoor, Entrance, Kitchen, Bathroom, Home Decoration"
68,Unranked(New),General-Home-Textile,232.75000000000003,4.0,2900,49.0,"1pc Kitchen Apron, Waterproof Oil-proof Cooking Apron With Big Pocket, Kitchen Accessories"
69,#5 Best Sellers,in Good Quality Aprons,91.2,4.0,0,56.0,Waterproof Hair Cutting Cape Apron for Barbers and Salon Stylists - Protects Clothes and Keeps You Dry During Hair Cuts and Beard Shaving
70,#4 Best Sellers,in Fitted Sheets,1092.5,4.0,0,0.0,"1pc Quilted Fitted Sheet, Mattress Protector, Bedspread For Bedroom, Full Coverage, Solid Color Mattress Cover, Machine Washable, Curved Grid Design, Fits Twin Full King Queen Size Bed"
71,Unranked(New),General-Home-Textile,2630.55,4.0,30,28.0,"ELEMUSE Ventilated Design Memory Foam Mattress Topper,Cooling Gel Infused Swirl Foam Pad For Pressure Relief Back Pain,Bed Topper For Body Support, CertiPUR-US Certified"
72,#4 Best Sellers,in Window Stickers & Films,180.5,4.0,0,0.0,2m/Roll 5cm Wide Mesh Adhesive Repair Tape Door Window Screen Repair Patch Tape Screen Repair Kit For Covering Holes Tears
